doctor,cluster,specialty
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Nurse Jesse,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,0,Другое
Nurse Corey,0,Другое
Dr. Ben,0,Другое
Team 2,0,Другое
Dr. Quinn,0,Другое
Lab,0,Другое
Dr. Bob,0,Другое
Dr. Anna,4,Другое
Dr. Alex,4,Другое
Nurse Corey,4,Другое
Team 2,4,Другое
Lab,4,Другое
Dr. Bob,4,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Dr. Bob,2,Другое
Dr. Anna,1,Другое
Pharmacy,1,Другое
Nurse Jesse,1,Другое
Lab,1,Другое
Dr. Anna,3,Другое
Dr. Rudy,3,Другое
Lab,3,Другое
Nurse Jesse,3,Другое
Dr. Bob,3,Другое
Dr. Anna,0,Другое
Dr. Alex,0,Другое
Lab,0,Другое
Team 1,0,Другое
Nurse Jesse,0,Другое
Dr. Bob,0,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Nurse Jesse,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Dr. Bob,2,Другое
Dr. Anna,0,Другое
Dr. Alex,0,Другое
Nurse Corey,0,Другое
Team 2,0,Другое
Lab,0,Другое
Dr. Bob,0,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,3,Другое
Dr. Rudy,3,Другое
Dr. Ben,3,Другое
Lab,3,Другое
Nurse Jesse,3,Другое
Dr. Bob,3,Другое
Dr. Anna,0,Другое
Dr. Rudy,0,Другое
Team 2,0,Другое
Lab,0,Другое
Nurse Jesse,0,Другое
Dr. Bob,0,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,0,Другое
Dr. Rudy,0,Другое
Nurse Corey,0,Другое
Team 2,0,Другое
Lab,0,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,1,Другое
Pharmacy,1,Другое
Dr. Ben,1,Другое
Lab,1,Другое
Nurse Jesse,1,Другое
Dr. Bob,1,Другое
Dr. Anna,4,Другое
Dr. Alex,4,Другое
Nurse Corey,4,Другое
Dr. Ben,4,Другое
Team 2,4,Другое
Lab,4,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Nurse Jesse,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Anna,0,Другое
Dr. Rudy,0,Другое
Nurse Corey,0,Другое
Dr. Ben,0,Другое
Lab,0,Другое
Team 1,0,Другое
Dr. Anna,4,Другое
Dr. Charlie,4,Другое
Team 2,4,Другое
Lab,4,Другое
Nurse Jesse,4,Другое
Dr. Bob,4,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,1,Другое
Pharmacy,1,Другое
Dr. Ben,1,Другое
Lab,1,Другое
Nurse Jesse,1,Другое
Dr. Bob,1,Другое
Dr. Anna,1,Другое
Nurse Corey,1,Другое
Pharmacy,1,Другое
Dr. Ben,1,Другое
Lab,1,Другое
Dr. Bob,1,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Dr. Bob,2,Другое
Dr. Anna,0,Другое
Dr. Ben,0,Другое
Dr. Charlie,0,Другое
Team 2,0,Другое
Lab,0,Другое
Nurse Jesse,0,Другое
Dr. Bob,0,Другое
Dr. Anna,4,Другое
Dr. Charlie,4,Другое
Lab,4,Другое
Team 1,4,Другое
Nurse Jesse,4,Другое
Dr. Bob,4,Другое
Dr. Anna,3,Другое
Nurse Corey,3,Другое
Dr. Quinn,3,Другое
Lab,3,Другое
Dr. Bob,3,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Team 2,2,Другое
Lab,2,Другое
Nurse Jesse,2,Другое
Dr. Bob,2,Другое
Dr. Anna,4,Другое
Dr. Charlie,4,Другое
Team 2,4,Другое
Lab,4,Другое
Nurse Jesse,4,Другое
Dr. Bob,4,Другое
Dr. Anna,2,Другое
Pharmacy,2,Другое
Team 2,2,Другое
Lab,2,Другое
Nurse Jesse,2,Другое
Dr. Anna,2,Другое
Nurse Corey,2,Другое
Pharmacy,2,Другое
Dr. Ben,2,Другое
Lab,2,Другое
Team 1,2,Другое
